title,country_netflix,date_added_netflix,country_hulu,date_added_hulu,country_disney,date_added_disney,country_amazon,date_added_amazon,director,cast,release_year,rating,duration,listed_in,type
Craig Ferguson Presents: Hobo Fabulous,,,,,,,,,,"Craig Ferguson, Joe Bolter, Tomas Zakopal, Ronnie Portilla, Megan Ferguson, Milo Ferguson, Liam Ferguson",2019,18+,1 Season,TV Shows,TV Show
Crack in The Floor,,,,,,,,,"Sean Stanek, Corbin Timbrook","Mario Lopez, Garey Busey, Bo Hopkins, Tracy Scroggins",2001,R,90 min,Horror,Movie
Courageous Love,,,,,,,,,Daniel Knudsen,"Tim Kaiser, Holly Houk, Jessica Koloian, Kristina Kaylen, Patricia Mauceri, Jared Withrow",2017,13+,100 min,Drama,Movie
Courageous Avenger,,,,,,,,,Robert N. Bradbury,"Johnny Mack Brown, Helen Ericson, Warner Richmond, Eddie Parker, Ed Cassidy, Frank Ball",1935,13+,58 min,Western,Movie
Country Buck$,,,,,,,,,,,2015,TV-PG,2 Seasons,"Documentary, Drama, Unscripted",TV Show
Counting Cars,,,,,,,,,,,2015,TV-PG,2 Seasons,Special Interest,TV Show
Counterpart,,,,,,,,,,"James Cromwell, Olivia Williams, J.K. Simmons, Harry Lloyd, Nazanin Boniadi, Nicholas Pinnock, Sara Serraiocco, Betty Gabriel",2019,TV-MA,2 Seasons,"Drama, Science Fiction, Special Interest",TV Show
Couch To Confident 14 Day Yoga Challenge with Julia Marie,,,,,,,,,,Julia Marie,2018,ALL,1 Season,"Fitness, Special Interest",TV Show
Costume Quest,,,,,,,,,,"Candi Milo, Kari Wahlgren, Fred Tatasciore, Allie Urrutia, Kitana Turnbull, Max Mittelman, Gabriella Graves, Trevor Devall, Martha Marion, Issac Ryan Brown, Sloane Letourneau, Robbie Daymond, Nika Futterman",2019,7+,3 Seasons,Kids,TV Show
Cosmic Quantum Ray Series,,,,,,,,,,"Tom Kenny, Sam Vincent",2002,ALL,1 Season,"Kids, Science Fiction",TV Show
Cosmic Kids Yoga Adventures,,,,,,,,,,Jaime Amor,2017,ALL,2 Seasons,"Fitness, Kids",TV Show
Corsair,,,,,,,,,Roland West,"Chester Morris, Thelma Todd, Fred Kohler, Ned Sparks, Emmett Corrigan, William Austin",1931,ALL,73 min,"Action, Drama, Suspense",Movie
Corrie ten Boom: A Faith Undefeated,,,,,,,,,Robert Fernandez,Pam Rosewell Moore,2013,13+,58 min,"Documentary, Special Interest",Movie
Corporate,,,,,,,,,Nicolas Silhol,"Céline Sallette, Lambert Wilson, Stéphane De Groodt, Violaine Fumeau, Alice de Lencquesaing",2017,13+,95 min,"Drama, Suspense",Movie
Coronavirus Pandemic,,,,,,,,,Miles O'Brien,Miles O'Brien,2020,,53 min,Documentary,Movie
Corazon Contento,,,,,,,,,,"Enrique Altamira, Blanca Echeverria, Jimena Picos, Augusto Palma",2018,TV-NR,1 Season,Comedy,TV Show
Coolie No. 1,,,,,,,India,,David Dhawan,"Varun Dhawan, Sara Ali Khan, Paresh Rawal, Javed Jaffery, Rajpal Yadav, Sahil Vaid, Johny Lever, Shikha Talsania, Vikas Verma, Anil Dhawan, Manoj Joshi, Bharti Achrekar",2020,13+,135 min,"Comedy, Drama",Movie
Cool World,,,,,,,United States,,Ralph Bakshi,"Kim Basinger, Gabriel Byrne, Brad Pitt, Michele Abrams",1992,PG-13,102 min,"Action, Animation, Fantasy",Movie
Convention Girl,,,,,,,,,Luther Reed,"Shemp Howard, Rose Hobart, Weldon Heyburn, Herbert Rawlinson, Nell O'Day",1935,13+,68 min,Drama,Movie
Contradiction: A Question Of Faith,,,,,,,,,Jeremiah Camara,"Jeremiah Camara, Lawrence Krauss, Greydon Square, Martin Luther King III, Marissa Langseth, Lonnie Plaxico, David Orenstein, R. Drew Smith, Ayanna Watson, Dan Barker, Anthony David, Norm Allen, Mandisa Thomas",2015,PG-13,90 min,"Documentary, Faith and Spirituality",Movie
Construction Squad of Car City,,,,,,,,,,,2017,ALL,1 Season,Kids,TV Show
Constitution USA with Peter Sagal,,,,,,,,,,,2013,TV-PG,1 Season,"Documentary, Special Interest",TV Show
"Congratulations, It's A Boy!",,,,,,,,,William A. Graham,"Bill Bixby, Diane Baker, Jack Albertson, Tom Bosley, Ann Southern, Karen Jensen",1971,,79 min,"Comedy, Drama",Movie
CONFLICTED,,,,,,,,,"AK.REED FILMS (Amire K Reed), DUECE KING","Benny the Butcher, Adiyon Dashalon, Duece King, Nakia Griffith",2021,18+,131 min,Drama,Movie
Concrete Boom Pump - Truck Tunes for Kids,,,,,,,,,Jim Gardner,,2016,,3 min,Kids,Movie
Comrade Detective,,,,,,,,,,"Channing Tatum, Joseph Gordon-Levitt, Jenny Slate, Chloe Sevigny, Nick Offerman, Jake Johnson, Jason Mantzoukas, Beck Bennett",2017,18+,1 Season,Comedy,TV Show
Cómo Sobrevivir Soltero,,,,,,,,,,"Sebastián Zurita, Tato Alexander, Roberto Flores, Fabrizio Santini, Octavio Hinojosa, Lucía Gómez-Robledo, Pamela Almanza",2020,16+,1 Season,Comedy,TV Show
Coming Out,,,,,,,,,Alden Peters,Alden Peters,2016,18+,72 min,"Documentary, LGBTQ",Movie
Coming Of Age,,,,,,,,,Gary Crenshaw,"Gary Crenshaw, Lionel Culpepper, Derrell Cleveland, Denzell Manning, Brittney Lipsey, Gabriella Lee, Guy Bailey, James Woods, Antonio Dorsey",2020,18+,95 min,Action,Movie
Comicstaan Semma Comedy Pa,,,,,,,India,,,"Karthik Kumar, Praveen Kumar, Rajmohan Arumugam, Vidyullekha Raman, Mervyn Rozz, Abishek Kumar, Annamalai Lakshmanan, Karthigeyan Durai, Mayandi Karunanithi, Syama Harini, Yogesh Jagannathan",2020,13+,1 Season,Comedy,TV Show
Comicstaan,,,,,,,India,,,"Zakir Khan, Kenny Sebastian, Biswa Kalyan Rath, Abish Matthew, Kanan Gill, Kaneez Surka, Neeti Palta, Sumukhi Suresh, Urooj Ashfaq",2019,16+,2 Seasons,"Arts, Entertainment, and Culture, International, Unscripted",TV Show
Come On Rangers,,,,,,,,,Joe Kane,"Roy Rogers, Lynne Roberts, Raymond Hatton, J. Farrell MacDonald, Purnell Pratt",1938,13+,54 min,Western,Movie
Come and Get It,,,,,,,,,"Howard Hawks, William Wyler, Richard Rosson","Edward Arnold, Joel McCrea, Frances Farmer",1936,13+,100 min,"Drama, Romance",Movie
Colourcloud Palace,,,,,,,,,,,2006,13+,1 Season,"Action, Animation, Anime",TV Show
"Colores y coches de carreras con Max el tren, Bill el camión monstruo y Pete el camión - juguetes",,,,,,,,,,,2015,ALL,10 min,Kids,Movie
Coldplay: A Head Full Of Dreams,,,,,,,United Kingdom,,Mat Whitecross,"Guy Berryman, Jonny Buckland, Will Champion, Chris Martin",2018,PG-13,105 min,"Documentary, Music Videos and Concerts",Movie
Cody,,,,,,,,,,"Gary Sweet, Robert Mammone, Heather Mitchell",1995,16+,2 Seasons,"Action, Suspense",TV Show
Code Of The Red Man,,,,,,,,,Edward Finney,"Ted Adams, Chief Thurndercloud, Rick Vallin, Dave O'Brien, Sally Cairns",1942,18+,66 min,Western,Movie
Cobra Puma Golf All-Access Show,,,,,,,,,,,2021,TV-NR,1 Season,Sports,TV Show
Coach Of The Year,,,,,,,,,Don Medford,"Robert Conrad, Erin Gray, Red West, Daphne Reid, David Raynr, Ricky Paull Goldin, Alex Paez, Radames Torres, Louis Carello, Dean Hill, Ed O'Bradovich, Joneal Joplin, Howard A. Peters III, Calvin Bradford, Jos? 'Little Man' Navarro, Daniel Brown, Manuel Ortiz, Doug 'Too Tall' Brown, Kelin Owens, Terry Brown, Arnold Palmer, Stracotta Busby, Nathaniel Partee, Kenneth M. Clay, Philip Perry, Jeff Diaz, Steven Plumly, Harold Earnest, Mark Pruett, Glenn Fasig, Curtis Rimsky, Bernard Gales, Luis Rivera, Vincent Garcia, Fred Rodgers, Rodney George, William Rogers, Edward S. Hatcher, Jacob Santana, Dennis Ligon, Oscar Santillanes, Ricky Lyda, Melvin 'Lamont' Washington, Anthony Massie, James Shoulders, David 'Mad Dog' McCall, James Tate, Muriel Back, Richard Marx, Ron Botz, Guy Massey, Kelly Keefe, James D. O'Reilly, Jim Keith, Ron Parady, Bonnie Sullivan, Paul Swearingen",1980,,96 min,"Drama, Military and War",Movie
Close Range,,,,,,,,,"Isaac Florentine, Scott Adkins","Scott Adkins, Nick Chinlund, Caitlin Keats, Madison Lawlor, Scott Evans, Tony Perez",2015,,85 min,"Action, Suspense",Movie
Clockwork Orange County,,,,,,,,,Jonathan W.C. Mills,"Rikk Agnew, Tony Alva, Rodney Bingenheimer",2012,16+,74 min,"Documentary, Special Interest",Movie
Clip: Lego Batman Gameplay,,,,,,,,,Pusic Entertainment,"Batman, Wonder Woman, Spider-man, Superman, Captain America, Iron Man",2017,ALL,4 min,"Kids, Sports",Movie
"Clip: Heavy Rain Sound on the River, 3 hours noise for sleep and meditation - ultra dark",,,,,,,,,,,2017,ALL,183 min,"Faith and Spirituality, Special Interest",Movie
Clip: Elsa from Frozen Cooking Show Game,,,,,,,,,Pusic Entertainment,,2017,ALL,12 min,"Kids, Sports",Movie
Clifford's Puppy Days,,,,,,,,,,"Lara Miller,  Grey Delisle,  Kath Soucie, Henry Winkler",2006,TV-Y,3 Seasons,Kids,TV Show
Clifford the Big Red Dog,,,,,,,,,,"Hannah Levinson, Adam Sanders",2021,ALL,6 Seasons,Kids,TV Show
Clifford The Big Red Dog,,,,,,,,,,"John Ritter,  Kel Mitchell,  Cree Summer,  Grey Delisle",2003,TV-Y,5 Seasons,TV Shows,TV Show
"Click, Clack, Moo: Christmas at the Farm",,,,,,,,,,"Pete Davidson, Rachel Bloom, Patton Oswalt, Katie Crown, Jim Cummings, Chris Diamantopoulos, Keith Ferguson, Jake Green, Grey Griffin, Tom Kenny, Sonya Leslie, Candi Milo",2017,ALL,1 Season,Kids,TV Show
Clay,,,,,,,,,Andrew Gunn,"Imelda Staunton, Ian McElhinney, Ben-Ryan Davies, Harry McEntire",2008,,89 min,"Drama, Science Fiction",Movie
Claudia Oshry: Disgraced Queen,,,,,,,,,Brian Volk-Weiss,Claudia Oshry,2020,18+,72 min,"Arts, Entertainment, and Culture, Comedy, Young Adult Audience",Movie
Classical Piano for Sleep and Relaxation,,,,,,,,,Mark Knight,,2017,ALL,48 min,"Music Videos and Concerts, Special Interest",Movie
Classic Popeye,,,,,,,,,,"Jack Mercer, Mae Questel, Jackson Beck",1960,TV-Y,1 Season,"Animation, Kids",TV Show
Classic Nursery Rhymes with Little Baby Bum,,,,,,,,,Cannis Holder,,2019,ALL,35 min,Kids,Movie
Classic Nursery Rhymes By Little Baby Bum - American Sign Language Edition!,,,,,,,,,,Erin Webbs,2019,ALL,27 min,Kids,Movie
Classic Baby Songs by Little Baby Bum,,,,,,,,,Cannis Holder,"Grace Tamayo, Erin Webbs",2019,ALL,35 min,Kids,Movie
Clan of the White Lotus,,,,,,,,,Lo Lieh,"Liu Chia-hui, Hui Ying-hung, Lo Lieh",1980,16+,90 min,"Action, Drama",Movie
Citizen K,,,,,,,,,Alex Gibney,Mikhail Khodorkovsky,2020,18+,126 min,Documentary,Movie
Circumstances 2,,,,,,,,,"Ramon Sloan, Beasy Jones","Kenyatta DeEtt, Jamal ""Gravy"" Woolard, Ciera Angelia, Demaris Harvey, Kristin Clarke, David Bianco, London Johnson, Tony Lee, Gratz, Brenae Clarke, Frank Brandon, Steve Piper",2020,18+,79 min,"Action, Drama, Suspense",Movie
Cider with Rosie,,,,,,,,,Philippa Lowthorpe,"Timothy Spall, Samantha Morton, Georgie Smith, Teddie-Rose Malleson-Allen, Dylan Turland, Georgia Brinkworth, Emma Curtis, Bebe Cave, Shola Adewusi, Matthew Steer, Annette Crosbie, June Whitfield, Billy Howle, Sarah Sweeney, Isabella Polkinghorne, Libby Easton, Maya Gerber, Archie Cox, Ruby Ashbourne Serkis, Jack Harris, Finn Bennett, Jessica Hynes, Ines De Clercq, Bob Goody, Anthony Cozens, Ian Drysdale, Jake Hayward, James Inkling, Rafaella Hutchinson",2015,13+,89 min,Drama,Movie
Christmas Time with Mila and Morphle,,,,,,,,,Arthur van Merwijk,,2019,ALL,37 min,"Animation, Kids",Movie
Christmas Recipe for Romance,,,,,,,,,Marco Deufemia,"Madeline Leon, Sebastian Sacco",2019,,88 min,"Comedy, Romance",Movie
Christmas on the Bayou,,,,,,,,,Leslie Hope,"Hilarie Burton, Tyler Hilton, Randy Travis",2013,,88 min,"Drama, Romance",Movie
Christmas in Mississippi,,,,,,,,,Emily Moss Wilson,"Jana Kramer, Wes Brown, Faith Ford",2017,7+,93 min,"Drama, Romance",Movie
Christmas Finger Family And More,,,,,,,,,HooplaKidz,,2019,ALL,20 min,"Animation, Kids",Movie
Christmas Coupon,,,,,,,,,Daniel Knudsen,"Courtney Matthews, Aaron Noble, Robert Laenen",2019,7+,93 min,Comedy,Movie
Christmas Carols With Elly And Eva,,,,,,,,,HooplaKidz,"Elly, Eva",2019,ALL,22 min,"Animation, Kids",Movie
Christine Jorgensen Story,,,,,,,,,Irving Rapper,"John Hansen, Quinn Redeker",1970,R,89 min,Drama,Movie
Christian Finnegan: The Fun Part,,,,,,,,,Jay Chapman,Christian Finnegan,2014,18+,61 min,"Arts, Entertainment, and Culture, Comedy, Special Interest",Movie
Chris Tall Presents...,,,,,,,Germany,,,Chris Tall,2019,16+,1 Season,"Arts, Entertainment, and Culture, Comedy",TV Show
Chris Ramsey: Approval Needed,,,,,,,,,,,2019,16+,1 Season,TV Shows,TV Show
Chris Ramsey Approval Needed (4K UHD),,,,,,,,,,,2019,16+,1 Season,"Arts, Entertainment, and Culture",TV Show
Chris Porter: Ugly and Angry,,,,,,,,,Jay Chapman,Chris Porter,2014,,61 min,"Arts, Entertainment, and Culture, Comedy, Special Interest",Movie
Chris Harris on Cars,,,,,,,,,,Chris Harris,2016,TV-PG,1 Season,TV Shows,TV Show
Chris Claremont's X-Men,,,,,,,,,Patrick Meaney,"Chris Claremont, Jason Aaron, Art Adams, Lon Brown",2018,7+,71 min,Documentary,Movie
Choricha Mamla,,,,,,,India,,Priyadarshan Jadhav,"Jitendra Joshi, Amruta Khanvilkar, Aniket Vishwasrao, Kshitee Jog, Hemant Dhome, Kirti Pendharkar",2020,13+,132 min,Comedy,Movie
Choices,,,,,,,,,"Rami Alon, Silvio Narizzano","Val Avery, George Barrows, Christopher Blande, Pat Buttram, Paul Carafotes, Victor French, Lelia Goldoni, Sonny Gordon, Art Kimbro, Demi Moore, William R. Moses, Bryon Murrow, Stephen Nichols, Dennis Patrick, Don Stark",1982,,93 min,Drama,Movie
Chocolate City,,,,,,,United States,,Jean-Claude La Marre,"Robert Ri'chard, Tyson Beckford, Deray Davis, Imani Hakim, Darrin Dewitt Henson",2015,R,91 min,Drama,Movie
Chitralahari,,,,,,,,,Kishore Tirumala,"Sai Dharam Tej, Kalyani Priyadarshin, Nivetha Pethuraj",2019,ALL,119 min,"Drama, International",Movie
Chisholm '72: Unbought & Unbossed,,,,,,,,,Shola Lynch,"Shirley Chisholm, Ronald V. Dellums, Barbara Lee",2004,13+,76 min,Documentary,Movie
China's New Silk Road,,,,,,,,,ELVIRE BERAHYA LAZARUS,,2019,7+,53 min,"Documentary, Special Interest",Movie
Children's Favorite Fairy Tales and Nursery Rhymes,,,,,,,,,,,2016,ALL,1 Season,"Animation, Kids",TV Show
Child Genius,,,,,,,,,,"Leland Melvin, Arnav Krishna",2016,TV-PG,2 Seasons,"Documentary, Drama, Kids",TV Show
Chikati Gadilo Chithakotudu,,,,,,,,,Santosh P Jayakumar,"Arun Adith, Hemanth, Nikki Tamboli, Bhagyashree Mote",2019,18+,107 min,"Comedy, International",Movie
Chicken People,,,,,,,United States,,Nicole Lucas Haimes,"Brian Caraker, Brian Knox, Shari McCollough",2016,13+,83 min,"Documentary, Special Interest",Movie
Chick Fight,,,,,,,,,Paul Leyden,"Malin Akerman, Bella Thorne, Alec Baldwin, Dulcé Sloan, Kevin Connolly, Fortune Feimster, Kevin Nash",2020,R,97 min,"Comedy, Drama",Movie
Chiara Ferragni: Unposted [English Subbed],,,,,,,Italy,,Elisa Amoruso,Chiara Ferragni,2019,16+,88 min,Documentary,Movie
Chiara Ferragni: Unposted (4K UHD) - [English Dubbed],,,,,,,,,Elisa Amoruso,Chiara Ferragni,2019,G,89 min,Documentary,Movie
Chi's Sweet Adventure,,,,,,,,,,"Maaya SAKAMOTO, Makoto YASUMURA, Rikiya KOYAMA, Satomi KOHROGI, Ryoko SHIRAISHI",2018,ALL,2 Seasons,"Anime, International, Kids",TV Show
Chi-Town,,,,,,,,,Nick Budabin,Keifer Sykes,2019,13+,80 min,"Documentary, Special Interest, Sports",Movie
Chhalaang,,,,,,,India,,Hansal Mehta,"Rajkummar Rao, Nushrratt Bharuchaa",2020,13+,136 min,"Comedy, Drama",Movie
Cheers of the Crowd,,,,,,,,,Vin Moore,"Russell Hopton, Irene Ware, Harry Holman, Bradley Page, John Quillan, Wade Boteler, Betty Blythe",1935,13+,62 min,"Comedy, Suspense",Movie
Chee & T,,,,,,,,,Tanuj Chopra,"Dominic Rains, Sunkrish Bala, Asif Ali",2018,18+,79 min,"Action, Comedy, Special Interest",Movie
Cheaper 2 Keep Her,,,,,,,,,Marvin Hayes,"Courtney McGriff, Kenyon Glover, Jasmine Leyva, Kristen Hurt, Barry Brewer",2021,18+,103 min,"Comedy, Drama, Romance",Movie
Chavela,,,,,,,,,"Catherine Gund, Daresha Kyi","Chavela Vargas, Pedro Almodóvar, Elena Benarroch, Miguel Bosé",2017,18+,93 min,"Documentary, LGBTQ",Movie
Chasing The Crown: Dreamers to Streamers,,,,,,,,,,"Tucker Boner aka Jericho, AnneMunition, ActionJaxon, GoldGlove, Jordan Fisher, Ron Funches, Justin Willman, Brittney Griner, Bryan aka Beewhyan, Chelsea aka ChelseaBytes, Michael aka RedVacktor",2020,13+,1 Season,Adventure,TV Show
Chasing November,,,,,,,,,,"Bill Winke, Jared Mills",2017,13+,1 Season,"Documentary, Drama, Special Interest",TV Show
Chasing Happiness,,,,,,,,,John Lloyd Taylor,"Nick Jonas, Joe Jonas, Kevin Jonas",2019,16+,97 min,Documentary,Movie
Chasers,,,,,,,,,Dennis Hopper,"Tom Berenger, William McNamara, Erika Eleniak, Crispin Glover",1994,R,101 min,"Action, Comedy, Drama",Movie
Charm City,,,,,,,,,Marilyn Ness,"Clayton ""Mr. C"" Guyton, Alex Long, Major Monique Brown, Officer Eric Winston, Officer John Gregorio, Councilman Brandon Scott",2019,,107 min,"Documentary, Special Interest",Movie
Charles I Downfall of a King,,,,,,,,,,Lisa Hilton,2019,13+,1 Season,TV Shows,TV Show
Changing Rooms,,,,,,,,,,"Natalia Bassingthwaighte, Tim Leveson",2019,ALL,1 Season,"Special Interest, Unscripted",TV Show
Champ Against Champ,,,,,,,,,Godfrey Ho,Dragon Lee,2007,R,88 min,Action,Movie
Chairlift,,,,,,,,,,,2008,NR,30 min,Music Videos and Concerts,Movie
Chad Daniels: As Is,,,,,,,,,Ryan Brennan,Chad Daniels,2012,,52 min,"Arts, Entertainment, and Culture, Comedy, Special Interest",Movie
Chacha Vidhayak Hain Humare,,,,,,,,"March 30, 2021",,"Zakir Khan, Vyom Sharma, Kumar Varun, Zakir Hussain, Alka Amin, Abimanyu Singh, Sunny Hinduja, Pritha Bakshi, Venus, Onima Kashyap, Shashi Varma, Susheel Bothiyal, Rahul Subramaniam",2021,13+,2 Seasons,"Comedy, Drama",TV Show
Celia Pacquola: All Talk,,,,,,,,,,Celia Pacquola,2020,16+,1 Season,"Comedy, Talk Show and Variety",TV Show
Celebrity Paranormal Project,,,,,,,,,,"Mariel Hemingway, Julio Iglesias Jr.",2006,16+,1 Season,TV Shows,TV Show
Celebrity House Hunting,,,,,,,,,,,2012,TV-PG,1 Season,TV Shows,TV Show
Celebrity Home Raiders,,,,,,,,,,,2014,TV-PG,1 Season,TV Shows,TV Show
Celebrity Ghost Stories,,,,,,,,,,A. Jones,2011,TV-PG,3 Seasons,TV Shows,TV Show
Celebrity Close Calls,,,,,,,,,,Branden Wellington,2011,TV-14,1 Season,"Documentary, Drama, Unscripted",TV Show
Cave Club,,,,,,,,,,"Shelby Young, Keylor Leigh, Will Haza, Paula Rhodes, Aneesha DuBois",2020,ALL,1 Season,"Animation, Kids",TV Show
Catching Milat,,,,,,,,,,"Mal Kennard, Richard Cawthorne, Geoff Morrell, David Field",2015,16+,1 Season,Suspense,TV Show
Catch Hell,,,,,,,United States,,Ryan Phillippe,"Ryan Phillippe, Ian Barford, Stephen Louis Grush",2014,18+,97 min,"Action, Drama, Suspense",Movie
Catastrophe,,,,,,,,,,"Rob Delaney, Sharon Horgan",2019,18+,4 Seasons,"Comedy, Romance",TV Show
Casey's Shadow,,,,,,,,,Martin Ritt,"Walter Matthau, Alexis Smith, Robert Webber, Murray Hamilton, Andrew Rubin, Steve Burns, Michael Hershewe, Whit Bissell",1978,13+,116 min,"Action, Drama",Movie
Caryl of the Mountains,,,,,,,,,Bernard B. Ray,"Rin-Tin-Tin Jr., Ralph Bushman, Lois Wilde, Josef Swickard, Earl Dwire",1936,ALL,59 min,Drama,Movie
Cartoon Classics - Vol. 2: 25 Favorite Cartoons - 3 Hours,,,,,,,,,Max Fleischer,"Bugs Bunny, Daffy Duck, Elmer Fudd, Porky Pig, Casper the Friendly Ghost, Popeye the Sailor Man, Betty Boop, Little Audrey, Little Lulu, Felix the Cat, Superman",2017,13+,183 min,Animation,Movie
Caronte,,,,,,,Spain,,,"Roberto Álamo, Miriam Giovanelli, Belén López, Raúl Tejón, Itziar Atienza, Marta Larralde, Álex Villazán, Andrea Trepat, Luis Rallo, Carlos Hipólito, Julieta Serrano",2020,TV-MA,1 Season,"Drama, Suspense",TV Show
Carolina Skeletons,,,,,,,,,John Erman,"Louis Gossett Jr., Bruce Dern, Melissa Leo, Bill Cobbs, Richard Jenkins, Paul Roebling, Henderson Forsythe, Clifton James, Kenn Michael, G.D. Spradlin",1991,R,90 min,"Action, Drama",Movie
Carolina Low,,,,,,,,,Nick Searcy,"Sean Bridgers, Christopher Berry, Nick Searcy, Sonny Shroyer",2020,16+,83 min,"Action, Drama, Western",Movie
Carnival Row,,,,,,,United States,,,"Orlando Bloom, Caroline Ford, Cara Delevingne, Simon McBurney, Karla Crome, Indira Varma, Tamzin Merchant, Arty Froushan, Andrew Gower, Jared Harris, David Gyasi",2019,16+,1 Season,"Drama, Fantasy, Suspense",TV Show
Care Bears: Unlock the Music - Songs for Kids,,,,,,,,,,,2020,ALL,1 Season,"Animation, Kids",TV Show
Card Sharks with Jim Perry,,,,,,,,,,Jim Perry,1978,TV-G,1 Season,Unscripted,TV Show
Card Sharks with Bob Eubanks,,,,,,,,,,Bob Eubanks,1986,TV-G,1 Season,Unscripted,TV Show
Car Patrol of Car City,,,,,,,,,,,2019,ALL,3 Seasons,"Animation, Kids",TV Show
Car Hunters,,,,,,,,,,Danny Koker,2017,TV-PG,1 Season,"Documentary, Drama, Unscripted",TV Show
Car Crash TV,,,,,,,,,,Chris Barrie,2016,13+,2 Seasons,"Action, Documentary",TV Show
Captured in Chinatown,,,,,,,,,Elmer Clifton,"Marion Shilling, Charles Delaney, Philo McCullough, Robert Ellis, Robert Walker, Tarzan The Wonder Dog",1935,13+,53 min,"Action, Suspense",Movie
Captain Scarlett,,,,,,,,,Thomas Carr,"Richard Greene, Leonora Amar, Isabel Del Puerto, Nedrick Young, Manuel Fabregas",1953,13+,78 min,"Adventure, Drama",Movie
Captain Sabertooth,,,,,,,,,"Lisa Marie Gamlem, John Andreas Andersen","Tuva Novotny, Jon Øigarden, Nils Jørgen Kaalstad, Pia Tjelta",2014,13+,96 min,"Action, Comedy",Movie
Captain Calamity,,,,,,,,,John Reinhardt,"Marian Nixon, George Houston, Vince Barnett, Juan Torena, Movita, Crane Wilbur, George J. Lewis, Roy D'Arcy, Margaret Irving, Barry Norton, Louis Natheaux, Lloyd Ingraham, Alberto Gandero, Harold Howard, Charles Moyer, Gordon Jones, Maria Kalamo",1936,PG,74 min,Action,Movie
Cannabis To Save My Life,,,,,,,,,Diana C. Frank,,2015,,53 min,"Documentary, Special Interest",Movie
Candy,,,,,,,,,Nahala Johnson,"Sheneka Adams, Gina Caliste, Kendrick Smith, Jessica Kylie, Anthony Johnson, Bun B, Scarface",2017,18+,76 min,"Action, Drama",Movie
Canada: A Year In The Wild,,,,,,,,,,David Suchet,2018,13+,1 Season,Documentary,TV Show
Can't Stand Losing You: Surviving The Police,,,,,,,,,"Andy Grieve, Lauren Lazin","Andy Summers, Sting, Stewart Copeland",2015,13+,83 min,Special Interest,Movie
Camp X and the Birth of the CIA,,,,,,,,,,,2014,16+,1 Season,"Documentary, Drama, Special Interest",TV Show
Cameron Esposito: Marriage Material,,,,,,,,,Bobcat Goldthwait,Cameron Esposito,2016,18+,71 min,"Arts, Entertainment, and Culture, Comedy, Special Interest",Movie
Camelot,,,,,,,,,Diane Paloma Eskenazi,,2016,ALL,52 min,"Animation, Kids",Movie
Call Santa,,,,,,,,,,Amazon Kids,2020,ALL,2 Seasons,"Animation, Kids",TV Show
Call of The Wild,,,,,,,,,,"Nick Mancuso, Shane Meier, Rachel Hayward, Kathleen Duborg, Crystal Buble, Ben Cardinal, Bill MacDonald, Kavic",2000,TV-Y7,1 Season,"Action, Adventure, Drama",TV Show
Call Her Ganda,,,,,,,,,PJ Raval,"Naomi Fontanos, Meredith Talusan, Virginia Lacsa Suarez, Julita Laude",2018,16+,97 min,"Documentary, LGBTQ, Special Interest",Movie
Caligula,,,,,,,,,,"Koji Higashino, Koji Imada",2018,13+,1 Season,"Comedy, International, Unscripted",TV Show
Cajun Pawn Stars,,,,,,,,,,,2013,TV-14,4 Seasons,TV Shows,TV Show
Caillou,,,,,,,,,,"Evan Smirnow, Ellen David, Jennifer Seguin, Merlee Shapiro, Pat Fry, Annie Bovaird, Jesse Vinet, Bob Stutt, Pauline Little, Melissa Pirrera, Al Gravelle, George Morris, Graeme Jokic, Pier Paquette, Sofie Holland, Matt Ficner, Brigid Tierney, Raquel Trinidad, Jaclyn Linetsky, Bryn McAuley, Ryan Tilson, Tim Gosley, Tyler Brody Stein, Vanessa Lengies, Cara Reynolds, Dallas Jokic, Jessica Kardos, François Sasseville, Holly Gauthier-Frankel, Claudie Verdant, Sarah Johnson, Steve Songs, Matt Fincer, David Tyler, Johanne Garneau, Sannie Bovaird, Addison Holley, Helen King, Melissa Pirerra, Diane Arcand, Madeleine Arsenault, Charlotte Bernard, Violette Chauveau, Hugolin Chevrette-Landesque, Claudia-Laurie Corbeil, Nathalie Coupal, Louis Philippe Dandenault, Mario Desmarais, Sophie Faucher, Gilbert Lachance, Sophie Léger",2010,TV-G,1 Season,Kids,TV Show
Cafe Society,,,,,,,,,Woody Allen,"Jeannie Berlin, Steve Carell, Jesse Eisenberg, Blake Lively, Parker Posey, Kristen Stewart, Corey Stoll, Ken Stott",2016,PG-13,96 min,"Comedy, Drama",Movie
Cabin 28,,,,,,,,,Andrew Jones,"Lee Bane, Terri Dwyer, Brendee Green, Sean Rhys-James",2017,16+,84 min,"Horror, Suspense",Movie
C.H.U.D.,,,,,,,,,Douglas Cheek,"Daniel Stern, Kim Greist",1984,R,97 min,"Fantasy, Horror, Science Fiction",Movie
